"onetoken" "Freq" "do.call..rbind...strsplit.as.character..onetoken.onetoken...."
"25723" "reason" 88 "reason"
"34716" "weve" 88 "weve"
"14206" "havent" 87 "havent"
"24072" "points" 87 "points"
"24796" "program" 87 "program"
"28854" "single" 87 "single"
"32309" "tomorrow" 87 "tomorrow"
"34739" "whats" 87 "whats"
"3124" "bill" 86 "bill"
"12550" "future" 86 "future"
"12915" "gets" 86 "gets"
"17876" "leave" 86 "leave"
"20683" "movie" 86 "movie"
"16363" "issue" 85 "issue"
"18299" "list" 85 "list"
"22030" "officials" 85 "officials"
"11534" "final" 84 "final"
"13009" "girls" 84 "girls"
"19166" "march" 84 "march"
"31242" "taken" 84 "taken"
"13751" "guy" 83 "guy"
"14313" "heard" 83 "heard"
"18355" "lives" 83 "lives"
"18362" "living" 83 "living"
"22923" "paper" 83 "paper"
"23408" "perfect" 83 "perfect"
"24816" "project" 83 "project"
"4413" "buy" 82 "buy"
"8692" "director" 82 "director"
"13467" "green" 82 "green"
"20699" "mr" 82 "mr"
"21624" "north" 82 "north"
"24268" "possible" 82 "possible"
"25577" "rather" 82 "rather"
"25666" "reading" 82 "reading"
"28483" "shes" 82 "shes"
"28929" "six" 82 "six"
"21122" "near" 81 "near"
"22566" "outside" 81 "outside"
"26314" "report" 81 "report"
"33047" "twitter" 81 "twitter"
"35141" "wonderful" 81 "wonderful"
"35331" "writing" 81 "writing"
"11340" "feeling" 80 "feeling"
"21853" "obama" 80 "obama"
"22991" "parents" 80 "parents"
"26472" "rest" 80 "rest"
"30548" "stuff" 80 "stuff"
"1714" "art" 79 "art"
"2761" "bed" 79 "bed"
"5727" "class" 79 "class"
"10474" "especially" 79 "especially"
"11345" "feet" 79 "feet"
"19425" "matter" 79 "matter"
"28822" "simply" 79 "simply"
"35138" "won" 79 "won"
"3457" "board" 78 "board"
"5927" "coach" 78 "coach"
"6473" "conference" 78 "conference"
"7889" "death" 78 "death"
"9411" "drive" 78 "drive"
"24741" "process" 78 "process"
"29077" "sleep" 78 "sleep"
"31408" "tax" 78 "tax"
"32741" "tried" 78 "tried"
"34392" "wants" 78 "wants"
"2424" "band" 77 "band"
"3187" "birthday" 77 "birthday"
"7024" "couldnt" 77 "couldnt"
"9706" "eat" 77 "eat"
"13669" "guess" 77 "guess"
"18040" "level" 77 "level"
"28381" "share" 77 "share"
"29743" "spent" 77 "spent"
"34447" "washington" 77 "washington"
"35211" "worked" 77 "worked"
"35268" "wouldnt" 77 "wouldnt"
"18547" "looks" 76 "looks"
"32764" "trip" 76 "trip"
"33293" "understand" 76 "understand"
"4081" "brought" 75 "brought"
"5160" "chance" 75 "chance"
"7105" "cover" 75 "cover"
"10963" "eyes" 75 "eyes"
"14415" "hell" 75 "hell"
"14543" "hey" 75 "hey"
"14657" "himself" 75 "himself"
"16691" "jobs" 75 "jobs"
"31245" "takes" 75 "takes"
"3486" "body" 74 "body"
"7634" "d" 74 "d"
"11084" "fall" 74 "fall"
"11965" "following" 74 "following"
"16366" "issues" 74 "issues"
"23689" "pick" 74 "pick"
"32966" "turned" 74 "turned"
"34326" "walk" 74 "walk"
"5136" "challenge" 73 "challenge"
"10616" "event" 73 "event"
"12818" "general" 73 "general"
"18627" "loved" 73 "loved"
"34148" "visit" 73 "visit"
"34699" "west" 73 "west"
"6986" "cost" 72 "cost"
"22195" "ones" 72 "ones"
"25782" "recent" 72 "recent"
"30500" "strong" 72 "strong"
"32915" "tuesday" 72 "tuesday"
"35523" "yeah" 72 "yeah"
"2742" "became" 71 "became"
"13027" "giving" 71 "giving"
"19752" "men" 71 "men"
"21130" "nearly" 71 "nearly"
"22070" "oil" 71 "oil"
"22218" "online" 71 "online"
"27727" "schools" 71 "schools"
"29991" "staff" 71 "staff"
"35228" "works" 71 "works"
"35326" "write" 71 "write"
"732" "air" 70 "air"
"4744" "card" 70 "card"
"7793" "daughter" 70 "daughter"
"7864" "dead" 70 "dead"
"8246" "department" 70 "department"
"14172" "hate" 70 "hate"
"15330" "ideas" 70 "ideas"
"15639" "include" 70 "include"
"18504" "longer" 70 "longer"
"22780" "page" 70 "page"
"23491" "personal" 70 "personal"
"23950" "players" 70 "players"
"24112" "political" 70 "political"
"29892" "spring" 70 "spring"
"31785" "themselves" 70 "themselves"
"35635" "yourself" 70 "yourself"
"2189" "awesome" 69 "awesome"
"3753" "boy" 69 "boy"
"3857" "break" 69 "break"
"6767" "control" 69 "control"
"14334" "heat" 69 "heat"
"15017" "hour" 69 "hour"
"16087" "interesting" 69 "interesting"
"18541" "looked" 69 "looked"
"19237" "market" 69 "market"
"23637" "phone" 69 "phone"
"27408" "san" 69 "san"
"28814" "simple" 69 "simple"
"35061" "wish" 69 "wish"
"7230" "create" 68 "create"
"9760" "economy" 68 "economy"
"14022" "happen" 68 "happen"
"14023" "happened" 68 "happened"
"23709" "picture" 68 "picture"
"23913" "plans" 68 "plans"
"28643" "shows" 68 "shows"
"29490" "song" 68 "song"
"34576" "wednesday" 68 "wednesday"
"34862" "whose" 68 "whose"
"4968" "cause" 67 "cause"
"10810" "expected" 67 "expected"
"19671" "meeting" 67 "meeting"
"25844" "record" 67 "record"
"28156" "sense" 67 "sense"
"29564" "sound" 67 "sound"
"31267" "talking" 67 "talking"
"34517" "ways" 67 "ways"
"1078" "america" 66 "america"
"2380" "ball" 66 "ball"
"8661" "dinner" 66 "dinner"
"11470" "field" 66 "field"
"16612" "jersey" 66 "jersey"
"16860" "june" 66 "june"
"17818" "lead" 66 "lead"
"20423" "mom" 66 "mom"
"20427" "moment" 66 "moment"
"25783" "recently" 66 "recently"
"29612" "space" 66 "space"
"32470" "town" 66 "town"
"6719" "continue" 65 "continue"
"9663" "earlier" 65 "earlier"
"11221" "father" 65 "father"
"14770" "hold" 65 "hold"
"15954" "inside" 65 "inside"
"18592" "loss" 65 "loss"
"19626" "media" 65 "media"
"30093" "starting" 65 "starting"
"31461" "teams" 65 "teams"
"35644" "youve" 65 "youve"
"319" "action" 64 "action"
"9072" "dog" 64 "dog"
"13588" "ground" 64 "ground"
"15131" "huge" 64 "huge"
"22013" "offer" 64 "offer"
"24727" "problem" 64 "problem"
"25287" "questions" 64 "questions"
"29544" "sorry" 64 "sorry"
"34990" "wine" 64 "wine"
"631" "age" 63 "age"
"3417" "blue" 63 "blue"
"5767" "clear" 63 "clear"
"7946" "decision" 63 "decision"
"8060" "definitely" 63 "definitely"
"10218" "energy" 63 "energy"
"11370" "felt" 63 "felt"
"13206" "gone" 63 "gone"
"19670" "meet" 63 "meet"
"34903" "wife" 63 "wife"
"35259" "worth" 63 "worth"
"35619" "youll" 63 "youll"
"5792" "cleveland" 62 "cleveland"
"6122" "color" 62 "color"
"7504" "cup" 62 "cup"
"7537" "current" 62 "current"
"7751" "dark" 62 "dark"
"10718" "excited" 62 "excited"
"11558" "fine" 62 "fine"
"14496" "heres" 62 "heres"
"17891" "led" 62 "led"
"19975" "middle" 62 "middle"
"22083" "ok" 62 "ok"
